fusion,artist,song
Pop Rock,Eagles,Hotel California
Pop Metal,Ratt,Round and Round
Pop Hip-Hop,Vanilla Ice,Ice Ice Baby
Pop Funk,Dirty Loops,Hit Me
Pop Jazz,Just the Two of Us,Grover Washington Jr.
Pop Electronic,Lights,Ellie Goulding
Pop Indie,Arcade Fire,Everything Now
Rock Metal,Foo Fighters,Everlong
Rock Hip-Hop,K-os,Equalizer
Rock Funk,Stevie Wonder,Superstition
Rock Jazz,Kiev,Ariah Being
Rock Electronic,Daft Punk,Robot Rock
Rock Indie,City and Colour,Fragile Bird
Metal Hip-Hop,Death Grips,Hot Head
Metal Funk,Eternity Forever,CHON
Metal Jazz,Dream Theater,Another Day
Metal Electronic,Polyphia,LIT
Metal Indie,Kurt Travis,Desperate
Hip-Hop Funk,Kendrick Lamar,i
Hip-Hop Jazz,A Tribe Called Quest,Check the Rhime
Hip-Hop Electronic,Moow,Honey
Hip-Hop Indie,Brent Walsh,The Way You Seem
Funk Jazz,You're the One,Braxton Cook
Funk Electronic,Starlight,Jupiter
Funk Indie,Vulfpeck,Back pocket
Jazz Electronic,Blue Thyme,Through The Night
Jazz Indie,Nightingale,The Reign of Kindo
Electronic Indie,Submotion Orchestra,Kites
